{'N': 20480, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 686.4766144752502}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 1.505591869354248}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 1.5956897735595703}
{'N': 160, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 1.5372850894927979}
{'N': 320, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 0.6996791362762451}
{'N': 640, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 1.5838329792022705}
{'N': 1280, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 3.760148525238037}
{'N': 2560, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 13.094320297241211}
{'N': 5120, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 38.23948001861572}
{'N': 10240, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 179.4765374660492}
{'N': 20480, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'spherical', 'Time': 638.4076929092407}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.4303061962127686}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.6341454982757568}
{'N': 160, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 0.9968793392181396}
{'N': 320, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.1357252597808838}
{'N': 640, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 4.50709867477417}
{'N': 1280, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 2.3194570541381836}
{'N': 2560, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 6.519096851348877}
{'N': 5120, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 22.09574270248413}
{'N': 10240, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 87.43721580505371}
{'N': 20480, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 377.3204023838043}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.1515328884124756}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.1710035800933838}
{'N': 160, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 0.4328877925872803}
{'N': 320, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.391242265701294}
{'N': 640, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 2.693476915359497}
{'N': 1280, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 2.4588310718536377}
{'N': 2560, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 6.210319995880127}
{'N': 5120, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 25.522318124771118}
{'N': 10240, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 98.6537971496582}
{'N': 20480, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 373.5147273540497}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.7645230293273926}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.8761956691741943}
